iter	RMSE
0	2.780503228
1	2.69909582
2	2.623378928
3	2.550771389
4	2.476410299
5	2.406815718
6	2.334302863
7	2.270244507
8	2.210523702
9	2.155411337
10	2.101475091
11	2.04636276
12	1.993977567
13	1.943877328
14	1.898927808
15	1.850264908
16	1.805927165
17	1.763963989
18	1.72636888
19	1.688445341
20	1.649524425
21	1.613517916
22	1.580770328
23	1.549403177
24	1.515285927
25	1.488640541
26	1.462691754
27	1.435495622
28	1.411382426
29	1.389425882
30	1.368179502
31	1.345034551
32	1.325314189
33	1.306042826
34	1.288347759
35	1.271853772
36	1.255344798
37	1.236453039
38	1.222693854
39	1.209150179
40	1.197195085
41	1.185859154
42	1.170777254
43	1.15718264
44	1.147296237
45	1.134555806
46	1.125777014
47	1.118524073
48	1.110665986
49	1.10306671
50	1.094679874
51	1.086465579
52	1.078876909
53	1.070342715
54	1.06371297
55	1.057115607
56	1.050785533
57	1.045183882
58	1.038088949
59	1.033953613
60	1.02785366
61	1.023666309
62	1.019394922
63	1.007939293
64	0.9993429849
65	0.9943877915
66	0.9887173556
67	0.9855691382
68	0.9801580141
69	0.9785029005
70	0.9726178665
71	0.9646911859
72	0.9604274537
73	0.9543441388
74	0.9516034465
75	0.9473816913
76	0.9448640212
77	0.9397811881
78	0.9349105786
79	0.9318148294
80	0.9280196743
81	0.9244089834
82	0.9216266745
83	0.9193348081
84	0.9132940941
85	0.9105505684
86	0.9054006615
87	0.9023343161
88	0.9001937497
89	0.8976908757
90	0.8946668194
91	0.8923578306
92	0.8903112181
93	0.8863605604
94	0.8815997511
95	0.8793614907
96	0.8774062103
97	0.8758462308
98	0.8729151249
99	0.8708546694
100	0.86953788
101	0.8678606183
102	0.8661334876
103	0.8636176207
104	0.8616282359
105	0.857581587
106	0.8552596619
107	0.8512770164
108	0.850104192
109	0.8465704162
110	0.8452626493
111	0.8434256569
112	0.8412508282
113	0.8383543476
114	0.8333612106
115	0.8272506651
116	0.8245528783
117	0.8176830292
118	0.8138350644
119	0.8118531215
120	0.8105535679
121	0.8071126804
122	0.8031101832
123	0.8011422473
124	0.8002324097
125	0.7996902439
126	0.7984906518
127	0.797630757
128	0.7939178136
129	0.7915130053
130	0.7895845843
131	0.7866757048
132	0.7855806404
133	0.7835470631
134	0.7812797045
135	0.7802309564
136	0.774145879
137	0.7723079963
138	0.7706743336
139	0.7691631743
140	0.7643805668
141	0.7616692588
142	0.758625441
143	0.7542407384
144	0.7524008849
145	0.7484285602
146	0.7472981974
147	0.7458119073
148	0.7447138231
149	0.7434184909
150	0.7420117253
151	0.7374051996
152	0.735700668
153	0.7346611669
154	0.7332434175
155	0.731644322
156	0.7303167388
157	0.7288387774
158	0.7266470475
159	0.7253387774
160	0.7233479799
161	0.722301457
162	0.7202339947
163	0.7177137385
164	0.7145083027
165	0.710720869
166	0.707754725
167	0.7052882977
168	0.7041453594
169	0.7026933353
170	0.7010282568
171	0.700054086
172	0.6989393564
173	0.6961534193
174	0.694987898
175	0.6925304472
176	0.691183276
177	0.6902107442
178	0.6891770908
179	0.6840060176
180	0.6829682033
181	0.6806675848
182	0.679855301
183	0.6756844228
184	0.6748167357
185	0.673885064
186	0.6722202123
187	0.6689410079
188	0.6647477526
189	0.6628581841
190	0.6590472768
191	0.6578260044
192	0.6570521804
193	0.6539859227
194	0.652916966
195	0.6512302568
196	0.649991808
197	0.6480772684
198	0.645872567
199	0.6439188732
200	0.6406181436
201	0.6392810242
202	0.6386192314
203	0.6361933765
204	0.6344386818
205	0.6331298268
206	0.6310823521
207	0.6305601895
208	0.6283682915
209	0.6264347869
210	0.6221734014
211	0.6212770489
212	0.6203578542
213	0.6184271702
214	0.6167687596
215	0.6152051914
216	0.613129529
217	0.6116828081
218	0.6105136124
219	0.6074283603
220	0.6043218433
221	0.6028113488
222	0.6018347175
223	0.5975567027
224	0.5960530325
225	0.5923607249
226	0.5917628335
227	0.5890246739
228	0.5845690039
229	0.5836056608
230	0.5800743561
231	0.578517404
232	0.5776109086
233	0.5751757081
234	0.5739715058
235	0.5727118166
236	0.571525222
237	0.569945875
238	0.5688089959
239	0.5666521921
240	0.5651142613
241	0.5633892155
242	0.5618010252
243	0.559508614
244	0.5575833972
245	0.5562168606
246	0.5547240012
247	0.5532962093
248	0.5527477457
249	0.5509545875
250	0.5474914578
251	0.5463143324
252	0.5448749207
253	0.5421162408
254	0.5387450017
255	0.5355500239
256	0.5352157209
257	0.5338430309
258	0.5303797667
259	0.5280940107
260	0.5270018823
261	0.5255566763
262	0.5237553777
263	0.5223681752
264	0.5213321978
265	0.5206161231
266	0.5196948169
267	0.5179955923
268	0.5172323549
269	0.5163513599
270	0.5147315015
271	0.5123499318
272	0.5110069319
273	0.5101817035
274	0.509195267
275	0.5085503397
276	0.5077771911
277	0.5069899002
278	0.5044699654
279	0.5015552676
280	0.5002414324
281	0.4975191199
282	0.4963059911
283	0.4941121146
284	0.4925595313
285	0.489401822
286	0.4866389431
287	0.4853099046
288	0.484111091
289	0.4833551446
290	0.4813160607
291	0.4810157929
292	0.4791503717
293	0.476832344
294	0.4751552744
295	0.473165435
296	0.4715339868
297	0.4692664995
298	0.4672212929
299	0.4664912548
300	0.4658877803
301	0.4655209093
302	0.4634749711
303	0.461274473
304	0.4604385444
305	0.4584927344
306	0.4581139312
307	0.4570247654
308	0.4560414681
309	0.4550554385
310	0.4539857091
311	0.4517305015
312	0.4493157982
313	0.4482947401
314	0.4470104344
315	0.4462706019
316	0.4451024181
317	0.4441648934
318	0.4437205293
319	0.4415067032
320	0.4402524362
321	0.4392922245
322	0.4385641702
323	0.4374265271
324	0.4365915841
325	0.4352245118
326	0.4348224787
327	0.4340174297
328	0.4322108847
329	0.4313258633
330	0.4289093895
331	0.4276813122
332	0.4273623522
333	0.4266208729
334	0.4243759318
335	0.4227589742
336	0.4220535172
337	0.4202481592
338	0.4192236691
339	0.4187321557
340	0.4170989088
341	0.4163214889
342	0.4150014943
343	0.4142764329
344	0.4128806256
345	0.4119114054
346	0.4109623658
347	0.4092745016
348	0.4071288196
349	0.4055720162
350	0.4039383506
351	0.4033991485
352	0.4026049049
353	0.4008795379
354	0.3993484507
355	0.3979844082
356	0.3971318507
357	0.3962076589
358	0.3956563824
359	0.3939291504
360	0.3933177173
361	0.3923554544
362	0.3909036335
363	0.3899960679
364	0.3889659521
365	0.3867662775
366	0.3860423585
367	0.3842094936
368	0.382615837
369	0.3813310166
370	0.3806561169
371	0.3793616712
372	0.378514308
373	0.3779570885
374	0.3774080341
375	0.3761000466
376	0.3755396846
377	0.3749927741
378	0.3738256115
379	0.373324227
380	0.3726442579
381	0.3722155039
382	0.3715584175
383	0.3709816255
384	0.3700417105
385	0.3695494744
386	0.3683300964
387	0.3672078029
388	0.366707435
389	0.3648973852
390	0.3637456404
391	0.3628868774
392	0.3614830558
393	0.3603715497
394	0.3596917116
395	0.3590702226
396	0.3583132533
397	0.3566285937
398	0.355975157
399	0.3544431524
400	0.353916566
401	0.3530547043
402	0.3514865667
403	0.3507911295
404	0.3500803731
405	0.3490163118
406	0.3486010933
407	0.3473026526
408	0.3465723544
409	0.3459145977
410	0.3442807417
411	0.3431331078
412	0.3423707395
413	0.3417464903
414	0.3407869225
415	0.340083794
416	0.3391596356
417	0.3387094957
418	0.3380949566
419	0.3375863765
420	0.3372013885
421	0.3366691871
422	0.3360939482
423	0.3356613494
424	0.3345400494
425	0.3339080243
426	0.3332923787
427	0.3326580245
428	0.3320603234
429	0.3313342035
430	0.3303761044
431	0.3293424465
432	0.3286739544
433	0.3280789357
434	0.3274740898
435	0.3267012463
436	0.3258526851
437	0.3248856551
438	0.3243228475
439	0.3235459626
440	0.3230277729
441	0.3217191402
442	0.3210597431
443	0.3204183358
444	0.3199739309
445	0.3196105891
446	0.3184838294
447	0.317327474
448	0.316658491
449	0.3160966435
450	0.3152728761
451	0.3148808721
452	0.313998376
453	0.3129857999
454	0.3122848625
455	0.311391388
456	0.3107565835
457	0.3098864045
458	0.3090593889
459	0.3085260891
460	0.3080161896
461	0.3074352062
462	0.3067134367
463	0.3059127234
464	0.3054285151
465	0.3045104001
466	0.3035809554
467	0.3033489791
468	0.3025796562
469	0.302018751
470	0.3010323513
471	0.3007060678
472	0.2998577551
473	0.2993642638
474	0.2989171239
475	0.2983549021
476	0.2977191938
477	0.2971929643
478	0.2966027023
479	0.2960876697
480	0.2958734112
481	0.2949741052
482	0.2942832626
483	0.2932928045
484	0.2927945871
485	0.2922850794
486	0.2915717728
487	0.2913626296
488	0.2904712494
489	0.2898998846
490	0.2891797762
491	0.2886688298
492	0.2884546721
493	0.2874465158
494	0.2866808528
495	0.2859847424
496	0.2854377768
497	0.2849695151
498	0.2844937261
499	0.2840386452
500	0.2835940667
501	0.2831632831
502	0.2826988929
503	0.2822721226
504	0.2817611013
505	0.2811548286
506	0.280459977
507	0.2799902921
508	0.2794595354
509	0.2790357358
510	0.2788289685
